mahalle;nufus;latitude;longitude
ALAADDİNBEY MAHALLESİ;965.0;40.1857;28.8676
GÜNGÖREN MAHALLESİ;538.0;40.107568;28.799001
BÜYÜKBALIKLI MAHALLESİ;520.0;40.250915;28.774309
GÖKÇE MAHALLESİ;443.0;40.230628;28.844745
DAĞYENİCE MAHALLESİ;415.0;40.15872;28.957228
FADILLI MAHALLESİ;411.0;40.153503;28.709927
ATLAS MAHALLESİ;372.0;40.12264;28.888769
BADIRGA MAHALLESİ;344.0;40.254504;28.692828
ÇAYLI MAHALLESİ;324.0;40.1857;28.8676
KARACAOBA MAHALLESİ;322.0;40.215991;28.996048
KORUBAŞI MAHALLESİ;317.0;40.104094;28.755056
MAKŞEMPINARI MAHALLESİ;312.0;40.127973;28.766413
BAŞKÖY MAHALLESİ;304.0;40.1857;28.8676
UNÇUKURU MAHALLESİ;299.0;40.118596;28.72596
AYVAKÖY MAHALLESİ;178.0;40.214872;28.759461
ÇATALAĞIL MAHALLESİ;176.0;40.1857;28.8676
KONAKLI MAHALLESİ;175.97;40.1857;28.8676
İNEGAZİ MAHALLESİ;157.0;40.1857;28.8676
BEŞEVLER MAH.;138.518;40.1857;28.8676
ÇAMLICA MAH.;128.854;40.1857;28.8676
ERTUğRUL MAH.;128.854;40.1857;28.8676
KADRİYE MAHALLESİ;125.0;40.091738;28.868289
KONAK MAH.;122.411;40.206971;28.982735
YÜZÜNCÜYIL MAH.;119.19;40.221832;28.900006
BARIŞ MAH.;115.968;40.215105;28.968907
ALAADDINBEY MAH.;109.526;40.204237;28.922848
ÖZLÜCE MAH.;106.304;40.237053;28.907625
GÖRÜKLE MAH.;99.862;40.1857;28.8676
KURUÇEŞME MAHALLESİ;97.0;40.12578;28.821691
ÜÇPINAR MAHALLESİ;92.0;40.103684;28.840989
NİLÜFER MAH.;77.312;40.1857;28.8676
GÖRÜKLE MAHALLESİ;32.489;40.1857;28.8676
İHSANİYE MAHALLESİ;28.846;40.235749;28.814178
DUMLUPINAR MAHALLESİ;28.594;40.224637;28.838887
ÜÇEVLER MAHALLESİ;27.559;40.1857;28.8676
KONAK MAHALLESİ;24.807;40.254591;28.75873
BEŞEVLER MAHALLESİ;23.32;40.1857;28.8676
FETHİYE MAHALLESİ;21.92;40.239132;28.961941
BALAT MAHALLESİ;21.167;40.210041;28.811638
23 NİSAN MAHALLESİ;21.042;40.218428;28.944024
BALKAN MAHALLESİ;19.594;40.1857;28.8676
ALTINŞEHİR MAHALLESİ;18.83;40.225157;28.923726
YÜZÜNCÜYIL MAHALLESİ;18.806;40.1857;28.8676
ÇALI MAHALLESİ;18.226;40.196001;28.981172
ATAEVLER MAHALLESİ;17.793;40.200928;28.946394
ÇAMLICA MAHALLESİ;17.741;40.1857;28.8676
CUMHURİYET MAHALLESİ;16.705;40.221379;28.971758
30 AĞUSTOS ZAFER MAHALLESİ;15.605;40.19477;28.839262
DEMİRCİ MAHALLESİ;15.415;40.181772;28.939174
29 EKİM MAHALLESİ;14.587;40.220821;28.910007
BARIŞ MAHALLESİ;13.667;40.1857;28.8676
KÜLTÜR MAHALLESİ;13.452;40.200721;28.964438
ESENTEPE MAHALLESİ;13.096;40.224172;28.988752
ERTUĞRUL MAHALLESİ;13.058;40.21585;28.924226
KARAMAN MAHALLESİ;11.484;40.174739;28.836716
KIZILCIKLI MAHALLESİ;10.88;40.193635;28.807469
AKÇALAR MAHALLESİ;10.581;40.177265;28.745277
AHMET YESEVİ MAHALLESİ;9.021;40.26997;28.94059
KURTULUŞ MAHALLESİ;8.609;40.213565;28.827383
ODUNLUK MAHALLESİ;7.362;40.198901;28.993358
YOLÇATI MAHALLESİ;5.593;40.257855;28.869095
MİNARELİÇAVUŞ MAHALLESİ;5.194;40.238158;28.932519
19 MAYIS MAHALLESİ;4.371;40.227911;28.897002
ÖZLÜCE MAHALLESİ;4.073;40.1857;28.8676
IŞIKTEPE MAHALLESİ;3.839;40.228283;28.949795
KAYAPA MAHALLESİ;3.085;40.1857;28.8676
